area,bedrooms,garage,address,district,type,total
32,2,1,Rua Valson Lopes,Vila Butantã,Apartamento,3285
67,3,1,Rua Deputado Emílio Carlos,Vila Campesina,Apartamento,4832
55,2,0,Alameda Barão de Piracicaba,Campos Elíseos,Apartamento,2010
36,1,1,Rua Ascencional,Jardim Ampliação,Apartamento,2749
89,2,2,Rua João Simões de Souza,Parque Reboucas,Apartamento,5430
44,1,1,Rua Desembargador Guimarães,Água Branca,Apartamento,4241
40,1,0,Rua Sebastião Martins,Jardim Bonfiglioli,Casa,1355
60,1,0,Rua Doutor Solon Fernandes,Vila Rosália,Apartamento,1342
85,3,1,Rua José Rafaeli,Socorro,Apartamento,2491
200,4,4,Rua Cândido Lacerda,Vila Regente Feijó,Apartamento,12090
50,2,0,Rua José Antônio Coelho,Vila Mariana,Apartamento,3148
85,2,0,Rua Intendência,Brás,Apartamento,2374
47,1,1,Rua do Tramway,Parada Inglesa,Apartamento,2829
25,1,0,Rua Doutor Ângelo Vita,Vila Zilda,Studio e kitnet,2633
38,2,0,Rua Visconde de Parnaíba,Brás,Apartamento,2514
39,1,1,Rua Ouro Branco,Jardim Paulista,Apartamento,3420
52,2,1,Rua Melo Peixoto,Tatuapé,Apartamento,2559
172,3,2,Rua Balthazar da Veiga,Vila Nova Conceição,Apartamento,14520
200,3,3,Rua Potá,Vila Formosa,Casa,3831
65,1,1,Rua Pamplona,Bela Vista,Apartamento,4862
56,2,1,Rua Terceiro-sargento João Soares de Faria,Parque Novo Mundo,Apartamento,1905
76,2,2,Rua Sansão Alves dos Santos,Cidade Monções,Apartamento,7588
35,1,0,Travessa Primeiro-sargento-polícia Militar Raul Fernandes das Neves Neto,Vila Gustavo,Casa,915
20,1,0,Rua Professor João Simões,Vila Santo Estefano,Studio e kitnet,1031
60,1,0,Rua Mafalda,Chácara Belenzinho,Casa,1513
110,3,2,Rua Tobias Monteiro,Parque Jabaquara,Casa,2959
55,1,1,Avenida Santa Catarina,Vila Mascote,Apartamento,2831
68,2,1,Rua José Benedito Salinas,Jardim Itapeva,Apartamento,3101
32,1,0,Rua Henrique Sertório,Tatuapé,Studio e kitnet,2598
127,2,2,Alameda Franca,Jardim Paulista,Apartamento,6599
20,1,0,Rua Artemis,Vila Babilônia,Casa,772
18,1,0,Viaduto Nove de Julho,Centro,Studio e kitnet,3092
88,2,2,Rua Pedro Gomes Cardim,Vila Progredior,Apartamento,5422
44,2,1,Rua Alvorada,Vila Olímpia,Apartamento,5124
36,1,1,Rua Galvão Bueno,Liberdade,Studio e kitnet,5462
56,1,0,Avenida Rio Branco,Campos Elíseos,Studio e kitnet,1558
40,1,0,Rua Santo Amaro,Bela Vista,Studio e kitnet,1442
65,2,1,Rua Aguiar de Barros,Bela Vista,Apartamento,8170
35,1,0,Rua Irmã Filomena,Vila Nova Carolina,Apartamento,2235
70,2,2,Rua Sansão Alves dos Santos,Cidade Monções,Apartamento,6018
130,3,2,Rua Rio Espera,Vila Rio de Janeiro,Casa,3943
28,1,0,Rua Doutor Nicolau de Sousa Queirós,Vila Mariana,Studio e kitnet,3431
140,3,2,Rua Augusto Farina,Butantã,Casa,4186
40,1,1,Rua Augusta,Consolação,Apartamento,4888
400,6,2,Rua Doutor Renan Basto,Vila Guarani,Casa,8965
30,1,0,Rua Paulo Célso Costa,Vila Mariana,Casa,638
30,1,0,Avenida Santo Albano,Vila Vera,Casa,1107
85,2,0,Rua do Erário,Vila Bertioga,Casa,1815
202,3,3,Alameda América,Alphaville Empresarial,Apartamento,15020
32,1,0,Rua Manoel Cruz,Vila Ernesto,Studio e kitnet,2459
54,2,1,Avenida Itaberaba,Nossa Senhora do Ó,Apartamento,2518
360,5,4,Alameda dos Antúrios,Residencial Seis (alphaville),Casa em condomínio,12560
46,1,0,Rua Barão de Tatuí,Vila Buarque,Apartamento,1794
150,3,2,Rua Quilombo,Jardim Santa Cecília,Casa,2388
44,2,1,Rua Savério Quadrio,Jardim Amaralina,Apartamento,1600
40,1,0,Rua Tabatinguera,Sé,Apartamento,1296
62,2,0,Rua Dona Veridiana,Vila Buarque,Apartamento,3732
80,1,1,Rua Conselheiro Elias de Carvalho,Vila Santa Catarina,Casa,2498
55,2,0,Rua Batataes,Jardim Paulista,Apartamento,6176
58,2,1,Rua Paulistânia,Vila Madalena,Apartamento,6220
27,1,0,Avenida Rebouças,Cerqueira César,Studio e kitnet,4447
18,1,0,"Rua Kalil Nader Habr - Vila Santo Estefano, São Paulo - Sp, Brasil",Vila Santo Estéfano,Casa,635
75,3,2,Avenida Miguel Yunes,Usina Piratininga,Apartamento,3902
160,2,4,Rua Jaboticabal,Vila Bertioga,Apartamento,14690
32,1,1,Rua General Chagas Santos,Vila da Saúde,Apartamento,3593
230,3,1,Rua Aprigio Rego Lopes,Jabaquara,Casa,4779
25,1,0,Rua Sampson,Brás,Studio e kitnet,1086
27,1,0,Rua General Jardim,Vila Buarque,Studio e kitnet,3576
35,1,0,Rua Martins Fontes,Centro Histórico de São Paulo,Apartamento,1995
140,3,2,Avenida Marcos Penteado de Ulhôa Rodrigues,Tamboré,Apartamento,10780
150,3,2,Rua Morro Alto,Vila Santa Maria,Casa,3562
142,3,2,Rua Vieira de Morais,Campo Belo,Casa,6845
70,3,1,Rua Jupi,Santo Amaro,Apartamento,4607
72,3,1,Rua Sousa Lima,Barra Funda,Apartamento,5523
27,1,1,Rua Sena Madureira,Vila Clementino,Studio e kitnet,4317
50,2,0,Rua Doutor Mário de Campos,Americanópolis,Casa em condomínio,1335
57,1,1,Alameda Madeira,Alphaville Industrial,Apartamento,5612
144,3,2,Rua Manuel Álvares da Costa,Jardim Ester Yolanda,Casa,4150
75,3,1,Rua Manuel de Soveral,Jardim São Paulo(zona Norte),Apartamento,3211
168,3,3,Avenida Oiapoque,Alphaville Centro Industrial E Empresarial/alphaville.,Apartamento,11240
30,1,0,Rua Herval,Belenzinho,Apartamento,2069
38,1,1,Rua Cônego Vicente Miguel Marino,Barra Funda,Apartamento,2953
36,2,0,Rua Leôncio da Costa Vieira,Jardim Piqueroby,Studio e kitnet,3038
85,2,2,Rua Augusto dos Anjos,Melville Empresarial Ii,Apartamento,6726
36,1,0,Rua Vicente Pereira de Assunção,Vila Constança,Apartamento,1196
24,1,0,Rua Caramuru,Vila da Saúde,Apartamento,2845
54,2,1,Rua Augusta Santel,Jardim Celeste,Apartamento,2756
68,2,2,Rua Jaci,Chácara Inglesa,Apartamento,4063
40,1,1,Rua Martins Fontes,Centro,Apartamento,3668
72,2,1,Rua Aroaba,Vila Leopoldina,Apartamento,6800
49,1,1,Avenida Rebouças,Pinheiros,Apartamento,6998
70,2,2,Rua dos Aliados,Vila Sao Pedro,Apartamento,2727
50,1,0,Rua José Codina,Jardim São Silvestre,Casa,938
40,1,0,Rua Dom Meinrado,Jardim Monjolo,Casa,1070
47,1,1,Rua Afonso Braz,Vila Nova Conceição,Apartamento,5476
45,2,0,Rua Barão de Iguape,Liberdade,Apartamento,2159
51,2,0,Praça Conceição do Herval,Chácara Santo Antônio (zona Leste),Apartamento,1598
67,1,0,Rua Antonio Avelino Neves,Jardim Valéria,Casa,832
110,3,2,Rua Doutor José de Andrade Figueira,Vila Suzana,Apartamento,5431
70,2,0,Rua Santa Ângela,Vila Palmeiras,Apartamento,1430
20,1,0,Rua Vale da Perdiz,Jardim Miriam,Casa,677
36,1,0,Rua Jorge Augusto,Vila Centenário,Apartamento,1734
115,3,2,Rua Cipriano Barata,Ipiranga,Apartamento,8907
62,2,1,Rua dos Americanos,Barra Funda,Apartamento,4100
70,1,0,Rua Doutor César Castiglioni Júnior,Casa Verde,Casa,2089
146,3,2,Rua José Lopes Dias,Jardim São Luís,Casa,2846
52,2,1,Rua Professor Arnaldo João Semeraro,Jardim Santa Emília,Apartamento,3406
250,4,3,Rua São Dario,Jardim Bonfiglioli,Casa,4525
250,3,3,Rua Carnaíba,Vila Diva,Casa,4320
97,3,1,Rua Marselha,Jaguaré,Apartamento,2669
180,3,1,Rua Caconde,Jardim Paulista,Apartamento,18400
45,2,1,Via Transversal Sul,Novo Osasco,Apartamento,1178
78,1,0,Praça Carlos Gomes,Liberdade,Apartamento,1762
38,1,1,Avenida Leôncio de Magalhães,Jardim São Paulo,Apartamento,2622
99,2,1,Rua do Oratório,Mooca,Apartamento,2819
80,3,1,Rua Heitor Penteado,Sumarezinho,Apartamento,4067
69,2,1,Rua Casa do Ator,Vila Olímpia,Apartamento,3970
40,1,0,Travessa Cleto da Silva,Jardim Pedro José Nunes,Casa,642
110,3,0,Rua Ministro Godói,Perdizes,Apartamento,6480
54,2,1,Rua da Glória,Liberdade,Apartamento,3715
51,1,1,Rua Sansão Alves dos Santos,Cidade Monções,Apartamento,8101
40,1,0,Rua Adolfo Lima Barros,Cidade Líder,Casa,1116
40,1,0,Rua Debret,Vila São José (ipiranga),Studio e kitnet,2268
76,1,0,Rua Forte William,Jardim Fonte do Morumbi,Apartamento,10200
45,1,0,Rua Francisca Miquelina,Bela Vista,Studio e kitnet,3157
100,3,1,Rua Haddock Lobo,Jardim Paulista,Apartamento,6349
28,1,1,Alameda Jaú,Jardim Paulista,Studio e kitnet,4224
35,1,0,Praça Doutor Mário Margarido,Liberdade,Studio e kitnet,1195
70,2,0,Rua Antonieta,Boa Vista,Casa,1561
33,1,0,Rua Martins Fontes,Bela Vista,Studio e kitnet,1664
70,2,0,Rua Paracatu,Parque Imperial,Apartamento,2292
60,2,0,Avenida Brigadeiro Luís Antônio,Bela Vista,Apartamento,2603
56,2,1,Avenida Alberto Fontana,Jardim Celeste,Apartamento,2152
48,2,0,Rua Maciel Monteiro,Vila Santa Teresa (zona Leste),Apartamento,1953
45,1,1,Rua Maracaí,Aclimação,Apartamento,4005
77,2,2,Rua Diego de Castilho,Panamby,Apartamento,5427
62,3,1,Avenida dos Ourives,Parque Bristol,Apartamento,2162
20,1,0,Rua Sargento Jeter Augusto Pereira,Parque Novo Mundo,Studio e kitnet,682
50,2,1,Rua Sousa Coutinho,Sacomã,Apartamento,2980
350,4,2,Rua das Aroeiras,Jabaquara,Casa,6090
121,2,2,Avenida Melchert,Chácara Seis de Outubro,Casa em condomínio,3674
36,1,1,Rua Barão de Tatuí,Vila Buarque,Studio e kitnet,2277
50,2,0,Rua Martim Burchard,Jardim Brasília (zona Norte),Apartamento,3841
60,2,0,Rua Antônio Dare,Vila Cavaton,Casa,1437
300,3,4,Rua Moacir Miguel da Silva,Jardim Bonfiglioli,Casa,4300
76,3,1,Rua Gomes de Carvalho,Vila Olímpia,Apartamento,8455
78,2,1,Rua Baronesa de Itu,Santa Cecilia,Apartamento,5369
160,3,2,Rua Coronel Higino Borges dos Santos,Santana,Casa,5738
45,2,1,Rua Quixadá,Vila Invernada,Apartamento,2707
46,2,1,Rua Glicério,Liberdade,Apartamento,2934
50,2,0,Avenida Jardim Japão,Jardim Brasil,Apartamento,1194
82,3,2,Avenida Celso Garcia,Brás,Casa,3017
30,1,0,Rua Manoel Oliveira Gonçalves,Jardim Jaçanã,Casa,509
59,2,1,Rua Domiciano Leite Ribeiro,Vila Guarani (z Sul),Apartamento,2968
160,3,2,Avenida Professor Vicente Rao,Santo Amaro,Casa,3584
62,2,1,Rua Alzira,Vila Alzira,Apartamento,3970
70,2,1,Rua Campo Grande,Padroeira,Apartamento,2797
100,3,2,Rua Teffé,Santa Maria,Apartamento,3989
55,2,1,Rua George Smith,Lapa,Apartamento,3932
35,1,0,Rua Dª. Elias Chaves,Campos Elíseos,Studio e kitnet,1495
74,3,2,Avenida Interlagos,Jardim Umuarama,Apartamento,5193
27,1,0,Rua da Consolação,Jardim Paulista,Studio e kitnet,3204
32,1,1,Rua Batataes,Jardim Paulista,Apartamento,3842
60,1,0,Avenida da Água Funda,Taboão,Casa,833
388,4,4,Avenida José Galante,Vila Suzana,Apartamento,13440
80,2,1,Rua Loureiro,Jardim Santa Maria,Casa,1355
100,3,2,Rua Padre João Manuel,Cerqueira César,Apartamento,18500
140,4,2,Rua Relógio de Sol,Parque Residencial da Lapa,Casa,5380
61,2,1,Rua da Mooca,Mooca,Apartamento,6170
43,2,1,Rua Dom José Marcondes,Jardim Almanara,Apartamento,2313
39,2,0,Rua Leôncio da Costa Vieira,Jardim Piqueroby,Studio e kitnet,3246
90,2,0,Rua Anápolis,Vila Augusta,Casa,1593
89,2,0,Rua Correggio,Vila Suzana,Apartamento,4853
201,3,5,Rua Barão de Jaceguai,Campo Belo,Apartamento,19100
180,3,4,Rua Pinto Serva,Jardim Taboao,Casa,4983
44,1,1,Rua Cajaíba,Vila Pompéia,Apartamento,3913
65,3,2,Rua Alfredo Mendes da Silva,Jardim Jussara,Apartamento,2704
65,2,1,Avenida Cupecê,Jardim Prudência,Apartamento,3027
38,1,1,Rua Salém Bechara,Centro,Apartamento,2959
250,3,2,Rua Aureliano do Amaral,Vila Nova Esperança,Casa,2690
110,2,1,Rua Murilo Furtado,Parque Vitoria,Casa,2108
275,3,2,Rua Guanás,Vila Sônia,Casa,8373
34,1,0,Rua Riskallah Jorge,Centro,Studio e kitnet,1420
131,3,0,Rua Cupiara,Água Rasa,Casa,3397
120,2,1,Rua Comendador Gil Pinheiro,Chácara Califórnia,Casa,1926
150,4,2,Rua Doutor Ivo Define Frasca,Vila Olímpia,Apartamento,15480
38,1,1,Alameda Lorena,Jardim Paulista,Apartamento,4087
56,2,1,Rua das Seringueiras,Vila Parque Jabaquara,Apartamento,3293
64,2,1,Rua Manuel Leiroz,Vila Penteado,Apartamento,3631
105,3,2,Rua Marechal Barbacena,Tatuapé,Apartamento,6335
100,2,2,Rua Lacedemônia,Jardim Brasil (zona Sul),Apartamento,4900
50,1,1,Rua General Florêncio,Quitaúna,Casa,2731
37,1,1,Rua Ouro Branco,Jardim Paulista,Apartamento,5403
56,2,2,Rua Júlio Sayago,Vila Ré,Casa em condomínio,1954
70,1,0,Rua Pierre de Beranger,Campo Grande,Casa,1525
40,2,0,Rua Jaguariaíva,Vila Guilhermina,Apartamento,1907
62,2,1,Rua Guiratinga,Chácara Inglesa,Apartamento,4411
28,1,0,Rua Voluntários da Pátria,Santana,Apartamento,2329
56,2,2,Rua João Mafra,Vila Brasílio Machado,Apartamento,2700
57,2,1,Rua Doutor Alfredo de Castro,Barra Funda,Apartamento,4143
50,2,1,Avenida Guarulhos,Vila Venditti,Apartamento,1936
38,2,0,Rua Brigadeiro Tobias,Centro Histórico de São Paulo,Apartamento,2433
250,3,2,Rua Amaro Guerra,Vila São Francisco (zona Sul),Casa,5733
92,3,2,Rua Sousa Reis,Vila Indiana,Apartamento,4355
20,1,0,Largo General Osório,Santa Efigênia,Studio e kitnet,1516
62,1,0,Rua São Francisco,Sé,Apartamento,1822
215,3,4,Rua Domingos Lopes da Silva,Morumbi,Apartamento,9473
50,1,0,Rua Gregório de Morais Rego,Jardim Consórcio,Casa,1040
37,1,0,Avenida Cupecê,Jardim Prudência,Apartamento,2279
49,2,1,Avenida Parada Pinto,Vila Nova Cachoeirinha,Apartamento,2199
62,2,1,Avenida José Júlio,Jaguaribe,Apartamento,1973
26,1,0,Avenida Alberto Augusto Alves,Vila Andrade,Studio e kitnet,3322
60,1,1,Rua Mair,Parque Maria Luiza,Casa,1336
50,1,1,Rua da Consolação,Consolação,Apartamento,3351
70,3,1,Rua Antonieta Leitão,Nossa Senhora do Ó,Apartamento,3503
25,1,0,Rua Oscar Cintra Gordinho,Liberdade,Apartamento,1921
40,1,1,Rua Schilling,Vila Leopoldina,Apartamento,3791
240,3,5,Rua Lorena,Vila Alice,Casa,3729
55,2,1,Rua Delegado Moraes Novaes,Vila Andrade,Apartamento,2825
36,1,0,Avenida Dedo de Deus,Vila Formosa,Apartamento,1524
146,3,0,Rua Caetano Pinto,Brás,Apartamento,3708
70,2,0,Rua General Júlio Marcondes Salgado,Campos Elíseos,Apartamento,2762
35,1,0,Rua São Paulo,Sé,Apartamento,2416
168,3,4,Rua Turmalina,Jardim dos Camargos,Casa,6588
147,3,2,Rua Mennucci,Jabaquara,Casa,5886
60,4,1,Avenida Etiópia,Vila Morellato,Casa,2339
170,3,2,Rua Luís Carlos Paraná,Jardim Cidália,Casa,4082
70,2,1,Avenida Madame Curie,Jardim Dourado,Apartamento,1684
160,4,1,Rua Kabul,Parque da Lapa,Casa,6022
100,3,0,Rua Bélgica,Parque das Nações,Casa,2919
80,1,2,Rua Deputado Laércio Corte,Paraíso do Morumbi,Apartamento,7477
31,1,0,Rua Melo Alves,Cerqueira César,Studio e kitnet,4762
55,2,1,Rua das Lobélias,Vila Bela,Apartamento,2294
101,3,2,Rua Dom Armando Lombardi,Vila Progredior,Apartamento,5125
48,1,0,Rua Barata Ribeiro,Bela Vista,Studio e kitnet,3079
150,3,1,Alameda Lorena,Jardim Paulista,Apartamento,7971
40,1,0,Rua João Adolfo,Centro Histórico de São Paulo,Studio e kitnet,1708
160,3,2,Rua Poconé,Vila Floresta,Casa em condomínio,3476
64,3,1,Rua Manuel Cherem,Vila Paulista,Apartamento,3263
30,1,0,Rua Mandioré,Vila Formosa,Studio e kitnet,901
32,1,0,Rua Domingos Paiva,Brás,Apartamento,2557
28,1,0,Rua Valson Lopes,Vila Butantã,Apartamento,2189
180,3,4,Rua Ministro Heitor Bastos Tigre,Jardim Monte Kemel,Casa,4025
66,3,1,Av. Padre Arlindo Vieira,Jardim Maria Estela,Apartamento,2915
55,2,1,Rua Luís Filipe Alberti,Jardim Maringá,Apartamento,1925
73,3,1,Avenida Cupecê,Jardim Prudência,Apartamento,3008
70,1,1,Rua São Benedito,Santo Amaro,Apartamento,5670
150,4,2,Rua Professor José Horácio Meirelles Teixeira,Vila Suzana,Apartamento,12150
180,3,2,Rua do Estilo Barroco,Chácara Santo Antônio (zona Sul),Casa,8143
60,2,1,Rua Silva Teles,Pari,Apartamento,4385
40,2,1,Rua Estônia,Parque das Nações,Apartamento,1971
70,2,1,Rua Cláudio,Água Branca,Apartamento,4639
63,3,1,Avenida Ajarani,Cidade Patriarca,Apartamento,2316
98,2,2,Rua Doutor Bacelar,Vila Clementino,Apartamento,12930
470,3,6,Rua Gabriel Quadros,Barro Branco (zona Norte),Casa,10960
135,2,2,Rua Coronel Francisco de Oliveira Simões,Paraíso do Morumbi,Apartamento,7311
196,3,3,Avenida Ômega,Alphaville,Apartamento,11200
24,1,0,Rua Doutor Ângelo Vita,Tatuapé,Studio e kitnet,2600
74,3,1,Avenida Doutor Guilherme Dumont Vilares,Jardim Londrina,Apartamento,3604
63,2,1,Rua Ipiranga,Jardim Aeroporto,Apartamento,6161
115,2,1,Rua Professor Macedo Soares,Vila Mariana,Casa,4075
31,1,0,Rua Doutor Luís Barreto,Bela Vista,Apartamento,1511
80,3,2,Rua Tutóia,Vila Mariana,Apartamento,6645
51,2,1,Rua Amâncio Pedro de Oliveira,Vila Maracanã,Apartamento,2868
67,1,0,Rua Conselheiro Brotero,Barra Funda,Casa,2499
184,3,1,Avenida Ipiranga,República,Apartamento,13550
100,3,1,Alameda Joaquim Eugênio de Lima,Jardim Paulista,Apartamento,5536
75,2,1,Rua São João da Bocaina,Chácara Mafalda,Casa,2076
51,2,1,Rua Ingaíbos,Vila Formosa,Apartamento,2557
40,1,0,Rua Raiz da Serra,Vila Parque Jabaquara,Casa,1376
35,1,1,Rua São Miguel,Bela Vista,Apartamento,3296
36,1,0,Avenida Agua Funda,Vila Guarani (z Sul),Casa,1222
16,1,0,Rua Iguatinga,Santo Amaro,Studio e kitnet,1850
48,2,1,Rua Leandro Teixeira,Paraisópolis,Apartamento,1848
450,5,1,Rua Antônio Carlos,Consolação,Apartamento,15330
83,2,2,Rua José da Silva Ribeiro,Vila Andrade,Apartamento,4512
50,1,1,Rua Luís Asson,Vila Buenos Aires,Casa,1540
92,2,1,Rua Tucuna,Pompeia,Apartamento,5973
80,2,0,Avenida Lasar Segall,Vila Celeste,Apartamento,4954
125,3,3,Rua das Camélias,Parque Assunção,Casa em condomínio,4702
70,1,3,Rua Fidalga,Pinheiros,Apartamento,7637
54,2,1,Rua Dom Macário,Saúde,Apartamento,1587
61,2,1,Rua Antônio Júlio dos Santos,Fazenda Morumbi,Apartamento,3003
75,2,0,Avenida Jurucê,Indianópolis,Apartamento,3811
75,1,0,Avenida Ipiranga,Centro,Apartamento,3033
29,1,0,Rua Guaicurus,Água Branca,Studio e kitnet,2679
71,2,2,Rua Nossa Senhora de Fátima,Santa Paula,Apartamento,4536
540,4,4,Rua Cajaíba,Vila Pompéia,Apartamento,13820
38,1,0,Rua Jaceguai,Bela Vista,Apartamento,2389
28,1,0,Rua Frei Walter Kempt,Vila Tolstoi,Studio e kitnet,857
26,1,0,Rua Vale da Perdiz,Jardim Miriam,Casa,761
88,2,0,Avenida Brigadeiro Luís Antônio,Sé,Apartamento,3116
397,4,3,Rua Vitória Régia,Jardim das Flores,Casa,8748
106,3,1,Rua Cardoso de Almeida,Perdizes,Apartamento,4918
45,1,1,Rua Professor Tamandare Toledo,Itaim Bibi,Apartamento,5515
34,1,0,Rua Doutor Fábio Montenegro,Vila Guilhermina,Apartamento,1972
50,2,0,Rua Tabatinguera,Sé,Apartamento,2015
55,2,1,Rua Ouvidor Peleja,Vila Mariana,Apartamento,3649
66,2,1,Rua Doutor Alfredo de Castro,Barra Funda,Apartamento,4147
118,2,0,Praça da Bandeira,Centro Histórico de São Paulo,Apartamento,3726
42,2,0,Rua Costa Barros,Vila Alpina,Apartamento,1921
48,1,0,Rua Rocha,Bela Vista,Apartamento,5693
35,2,1,Rua Dr Moraes Dantas,Vila Barbosa,Apartamento,1899
48,2,2,Rua Martim Afonso de Souza,Vila Pires,Apartamento,2024
25,1,0,Viela Renaldo Laporta,Vila Romero,Casa,907
40,1,0,Rua Curuçá,Vila Maria Baixa,Apartamento,1646
48,2,1,Rua José da Costa de Andrade,Jardim Santa Terezinha (zona Leste),Apartamento,1438
80,1,1,Rua Ministro Mário Carneiro,Vila Santa Teresa,Casa,1147
84,2,0,Rua Euclides de Andrade,Jardim Vera Cruz,Apartamento,3877
90,2,2,Rua Aratiba,Vila Endres,Casa,2626
200,4,2,Rua Folha de Hera,Parque Guarani,Casa,3613
73,2,2,Rua Pedro Colaço,Piqueri,Apartamento,2895
84,2,1,Rua Cláudio Aparecido Oliveira,Jardim Roberto,Apartamento,3337
62,3,1,Rua Rubem de Souza,Vila Inglesa,Apartamento,2335
49,2,1,Rua Doutor Milton Cotrim Sonzzini,Vila Guarani (zona Sul),Casa,1680
33,1,1,Rua Santa Justina,Vila Olímpia,Studio e kitnet,4658
25,1,0,Rua da Glória,Liberdade,Studio e kitnet,1323
75,3,2,Rua Cabo João Teruel Fregoni,Ponte Grande,Apartamento,3584
81,3,2,Rua Giovani Recordati,Parque São Domingos,Apartamento,4535
70,2,1,Avenida Marechal Mario Guedes,Jaguaré,Apartamento,3686
38,1,0,Rua dos Estudantes,Sé,Studio e kitnet,2061
60,2,0,Rua Frei Caneca,Consolação,Apartamento,3974
47,1,1,Rua Padre Lebret,Jardim Leonor,Apartamento,11350
41,1,0,Avenida Ipiranga,República,Studio e kitnet,1980
109,2,2,Rua Rosália de Castro,Vila Campestre,Casa,1981
32,1,0,Rua Iguará,Vila Alpina,Studio e kitnet,1477
377,4,5,Rua República do Iraque,Brooklin Paulista,Casa,14290
112,3,2,Rua Antônio Júlio dos Santos,Fazenda Morumbi,Apartamento,4319
67,2,1,Rua Fidélis Papini,Vila Prudente,Apartamento,2866
25,1,0,Rua Pacajás,Vila Cosmopolita,Apartamento,819
42,2,0,Rua Bom Sucesso,Cidade Mãe do Céu,Apartamento,1974
67,2,1,Rua Dias da Silva,Vila Maria,Apartamento,3932
15,1,0,Rua Frei Inácio da Conceição,Vila São Luís(zona Oeste),Studio e kitnet,1549
150,2,1,Rua Conceição Marcondes Silva,Vila Congonhas,Casa,3708
40,1,1,Rua Álvaro Rodrigues,Vila Cordeiro,Apartamento,4453
98,3,1,Avenida Paes de Barros,Mooca,Apartamento,3889
156,3,2,Avenida Parkinson,Alphaville Empresarial,Apartamento,8116
33,2,0,Avenida Tarumã,Vila Pierina,Apartamento,1533
34,1,1,Rua Marie Nader Calfat,Jardim Ampliação,Studio e kitnet,2409
110,2,2,Rua Doutor Miranda de Azevedo,Vila Anglo Brasileira,Apartamento,17340
76,2,1,Rua João Vitorino de Souza,Jardim Caravelas,Apartamento,3775
52,2,1,Rua Padre José Vieira de Matos,Conjunto Habitacional Padre Manoel da Nóbrega,Apartamento,1590
25,1,0,Rua Bento Freitas,República,Studio e kitnet,2441
39,1,0,Rua Santo Amaro,Bela Vista,Apartamento,3951
63,2,2,Rua dos Jequitibás,Campestre,Apartamento,3447
55,1,1,Rua Leandro Dupré,Vila Clementino,Apartamento,3108
180,3,1,Rua Haddock Lobo,Cerqueira César,Apartamento,14320
152,4,2,Alameda Jaú,Jardim Paulista,Apartamento,16300
40,1,0,Rua João Álvares da França,Freguesia do Ó,Apartamento,1678
51,1,1,Rua Martins Fontes,Centro,Apartamento,3929
58,2,1,Avenida Professor Luiz Ignácio Anhaia Mello,Vila Prudente,Apartamento,4760
92,3,2,Rua Capitão Rabelo,Jardim São Paulo,Apartamento,5694
230,3,2,Rua Maria Pais de Barros,Vila Marari,Casa,3669
56,2,1,Rua Marie Nader Calfat,Jardim Ampliação,Apartamento,2788
57,1,1,Rua Margarida Stach,Vila Ema,Casa,1616
45,2,0,Avenida General Olímpio da Silveira,Santa Cecília,Apartamento,2247
45,2,1,Rua Carlos Magalhães,Parque Reboucas,Apartamento,2086
46,2,1,Rua Cabo João Teruel Fregoni,Ponte Grande,Apartamento,2856
23,1,0,Rua Tapari,Vila Esperança,Apartamento,2110
64,2,1,Rua Paratiba,Jardim Nordeste,Apartamento,1921
82,2,2,Rua Antônio Baião,Vila Santa Clara,Casa em condomínio,3769
80,1,1,Rua Pedro Nunes,Jardim Dona Sinha,Casa,1430
28,1,0,Rua Doutora Neyde Apparecida Sollitto,Vila Clementino,Studio e kitnet,1216
75,2,1,Rua Werner Goldberg,Jardim Tupanci,Apartamento,4133
25,1,0,Rua Stela Marina,Brooklin,Apartamento,3884
47,2,1,Avenida Professora Virgília Rodrigues Alves de Carvalho Pinto,Jardim Leonor Mendes de Barros,Apartamento,2884
88,2,2,Rua Norma Pieruccini Giannotti,Barra Funda,Apartamento,8137
80,3,2,Rua Santo Irineu,Bosque da Saúde,Apartamento,4814
137,3,1,Rua Conselheiro Rodrigues Alves,Vila Mariana,Apartamento,7276
50,1,0,Rua Coronel José Lopes de Toledo,Vila Antonieta,Casa,1370
52,1,1,Rua Itapeva,Bela Vista,Apartamento,4134
42,1,0,Rua Lácio,Vila Formosa,Casa em condomínio,2373
160,3,1,Avenida Conselheiro Rodrigues Alves,Vila Mariana,Apartamento,11370
62,2,1,Avenida Flora,Bussocaba,Apartamento,2120
100,4,2,Avenida Moema,Planalto Paulista,Apartamento,8772
40,2,1,Avenida dos Ourives,Jardim São Savério,Apartamento,1850
28,1,0,Rua Nhamunda,Vila Dalila,Casa,1206
74,2,2,Sp-270 Km 15,Jardim Arpoador,Apartamento,4668
50,2,2,Rua Gradaú,Vila Bela,Apartamento,3231
100,3,2,Rua Flórida,Cidade Monções,Apartamento,7874
63,2,0,Rua dos Carmelitas,Sé,Apartamento,2020
23,1,0,Rua Ministro Godói,Perdizes,Apartamento,3297
112,3,2,Rua Cristianópolis,Água Rasa,Apartamento,4893
60,1,0,Rua Marquês de Maricá,Jardim Santa Cruz (sacomã),Casa,1457
48,2,0,Rua Ponte Pensa,Parada Inglesa,Apartamento,2366
130,3,2,Rua François Carlier,Vila Santa Teresa (zona Sul),Casa,4011
70,3,0,Avenida Coronel Sezefredo Fagundes,Tucuruvi,Casa,2034
