address,district,area,bedrooms,garage,type,rent,total
Rua Ernesto Capelari,Parque Santos Dumont,55,2,1,Apartamento,2320,3210
Rua Armando Ramos Filho,Moinho Velho,200,3,1,Casa,2560,2669
Rua João Marchiori,Cidade Patriarca,39,2,0,Apartamento,1500,1708
Rua da Meação,Vila Regente Feijó,86,3,2,Apartamento,3000,4664
Avenida Engenheiro Caetano Álvares,Limão,200,2,3,Casa,2240,2427
Rua Tenente Chantré,Vila Diva (zona Leste),220,3,2,Casa,4000,4200
Avenida Doutor Cardoso de Melo,Vila Olímpia,92,3,2,Apartamento,4500,7141
Avenida Nossa Senhora do Lorêto,Vila Medeiros,28,1,0,Studio e kitnet,1000,1038
Rua Cavour,Vila Prudente,65,2,1,Apartamento,3500,4365
Rua Padre Francisco João de Azevedo,Lauzane Paulista,140,3,2,Apartamento,4500,5654
Rua Girassol,Vila Madalena,95,1,2,Apartamento,6500,8610
Rua José Feliciano,Vila Mascote,53,1,1,Apartamento,4000,4745
Rua Alcides Alves,Casa Verde Alta,34,1,0,Casa,890,969
Rua Lima,Chácara Belenzinho,152,2,2,Casa,2250,2346
Mafalda,Chácara Belenzinho,60,1,0,Casa,1300,1430
Rua Doutor Zuquim,Santana,125,2,0,Apartamento,2000,2247
Rua Bruno Cavalcanti Feder,Quinta da Paineira,50,2,1,Apartamento,1700,2321
Rua Alencar Araripe,Jardim Santa Cruz (sacomã),82,3,2,Apartamento,3000,3859
Via Transversal Sul,Novo Osasco,64,3,1,Apartamento,1700,2299
Avenida Manuel Pímentel,Jardim Planalto,90,3,0,Casa,1600,1768
Rua Doutor Ângelo Vita,Tatuapé,25,1,0,Studio e kitnet,2200,2534
Rua Padre Chico,Santo Amaro,150,3,2,Casa em condomínio,3500,3966
Travessa Limoeiro,Água Fria,95,2,2,Casa,2257,2395
Rua Ministro Godói,Perdizes,33,1,0,Studio e kitnet,2220,2808
Rua Lino Coutinho,Ipiranga,100,3,1,Casa,4840,5376
Avenida Vereador José Diniz,Santo Amaro,41,1,1,Apartamento,3400,4047
Rua Bonifácio Veronese,Jardim Jaqueline,54,2,1,Apartamento,1800,2269
Rua Manuel Pitta,Vila Pita,56,2,1,Apartamento,1720,2376
Avenida Delmar,Alphaville Empresarial,62,2,1,Apartamento,2900,3478
Rua Anhanguera,Barra Funda,75,2,1,Apartamento,2955,3976
Rua Doutor Penaforte Mendes,Bela Vista,40,1,1,Studio e kitnet,1200,2150
Rua João Pimentel,Parque Peruche,60,1,0,Casa,1263,1346
Rua Aziz Jabur Maluf,Vila Clementino,124,3,2,Casa,6700,8160
Rua Francisca Miquelina,Bela Vista,31,1,0,Apartamento,1218,1604
Rua Elza Guimarães,Vila Amalia (zona Norte),59,3,1,Apartamento,1500,1958
Rua Bom Jesus,Vila Regente Feijó,50,2,1,Apartamento,2350,3112
Rua Togo,Jardim Japão,37,1,0,Studio e kitnet,1164,1273
Rua Artur Barreiros,Jardim Ester,110,2,1,Casa,3300,3440
Rua Avanhandava,Bela Vista,25,1,1,Studio e kitnet,2700,3791
Rua Vinte E Oito de Setembro,Vila Dom Pedro I,54,2,1,Apartamento,2575,3374
Rua Francisco Coelho dos Santos Filho,Jardim Kuabara,42,1,0,Casa,1175,1259
Rua Batinga,Vila Nova Mazzei,200,3,2,Casa,3650,3901
Rua Tenente Paulo Alves,Vila Vera,50,1,0,Casa,1400,1460
Rua Amália de Noronha,Pinheiros,65,2,0,Apartamento,2700,3384
Rua Cristóvão Bezerra Dantas,Parque Vitoria,60,1,0,Casa,1130,1222
Rua Armando Barreto,Jardim Colombo,164,3,2,Casa em condomínio,4507,4913
Rua Joana D'arc,Vila Cláudia,92,3,2,Apartamento,3000,3534
Rua Saturnino dos Santos,Vila Firmiano Pinto,55,2,0,Apartamento,2200,2438
Rua Alice Blanche,Lauzane Paulista,220,3,2,Casa,4500,4925
Rua Carlos Steinen,Paraíso,201,3,4,Apartamento,7850,10730
Rua Alexandre Levi,Cambuci,62,3,1,Apartamento,2490,3193
Rua Manguaba,Jardim Umuarama,62,2,1,Apartamento,1850,2491
Rua Trajano Reis,Jardim das Vertentes,84,3,2,Apartamento,3000,4333
Avenida Agenor Couto de Magalhães,Jardim Regina,52,2,1,Apartamento,2600,2700
Avenida Conselheiro Rodrigues Alves,Vila Mariana,125,2,2,Apartamento,6560,8837
Rua Paula Ney,Vila Mariana,41,1,0,Apartamento,3800,4462
Rua Capitão Leovigildo Silvério Gomes dos Reis,Planalto Paulista,27,1,0,Apartamento,1400,1568
Avenida Interlagos,Jardim Marajoara,95,2,1,Apartamento,3000,4612
Rua Professor Ciridião Buarque,Vila Anglo Brasileira,64,2,2,Apartamento,4300,5722
Avenida Aprigio Bezerra da Silva,Chácara Agrindus,117,4,2,Apartamento,4500,5457
Rua Antônio Xavier de Matos,Engenheiro Goulart,58,2,1,Apartamento,1405,1895
Rua Bernardino Vergueiro,Penha de França,45,2,0,Apartamento,1250,1498
Avenida Brigadeiro Luís Antônio,Bela Vista,11,1,0,Apartamento,2400,3000
Rua Tetsuaki Misawa,Vila Clementino,110,3,2,Casa,5250,5813
Rua Bonnard,Alphaville Empresarial,54,1,1,Apartamento,4800,5508
Rua Afonso Bandeira de Melo,Campo Belo,65,1,1,Apartamento,2800,3964
Rua Manacá,Jardim das Flores,84,2,2,Casa,3000,3287
Rua Karlina Reiman Wandabeg,Jardim Monte Kemel,55,2,1,Apartamento,1500,2458
Rua dos Buritis,Jardim Oriental,67,3,1,Apartamento,1700,2631
Rua Sabbado D’ângelo,Itaquera,40,1,0,Apartamento,4000,4354
Rua Cravinhos,Jardim Paulista,85,2,1,Apartamento,7253,9209
Rua Luís Coelho,Consolação,48,1,1,Studio e kitnet,2100,3692
Av Ipiranga,Centro,62,1,0,Apartamento,1400,2033
Avenida Itaberaba,Itaberaba,150,3,2,Casa,3500,3648
Rua Correggio,Vila Suzana,103,3,2,Apartamento,5000,6693
Rua Getúlio Soares da Rocha,Jardim das Acacias,103,3,2,Apartamento,7000,8243
Rua Otto de Alencar,Liberdade,32,1,0,Apartamento,1460,1811
Rua Dom Estevão Pimentel,Chácara Belenzinho,56,3,1,Apartamento,2000,2937
Rua Minerva,Perdizes,80,3,2,Apartamento,3400,5214
Rua Manuel Cherem,Vila Paulista,63,2,1,Apartamento,3690,4502
Rua Ponte Pensa,Parada Inglesa,37,2,0,Apartamento,1650,1949
Rua das Palmeiras,Vila Buarque,45,2,1,Apartamento,2000,2721
Rua Angatuba,Vila Sao Pedro,48,2,1,Apartamento,2500,2796
Rua Esmeralda Monteiro,Vila Campestre,50,1,0,Casa,940,999
Rua Alexandre Benois,Vila Andrade,40,1,1,Apartamento,1989,2599
Rua Professor Arnaldo João Semeraro,Jardim Santa Emília,37,2,0,Apartamento,1300,1800
Rua Humberto I,Vila Mariana,21,1,0,Studio e kitnet,3400,4053
Rua Anália Franco,Vila Regente Feijó,190,2,1,Casa,2300,2664
Rua Helena Zerrener,Liberdade,33,1,0,Apartamento,1460,1836
Avenida Cásper Líbero,Santa Ifigênia,55,1,0,Apartamento,1250,1753
Rua José Silvano Filho,Jardim Lucia,30,2,0,Studio e kitnet,860,893
Rua Laudelino Vieira de Campos,Jardim Felicidade (zona Oeste),60,1,1,Casa,2400,2562
Rua Maestro Cardim,Bela Vista,50,1,1,Apartamento,2400,3543
Rua Coronel Joviniano Brandão,Vila Prudente,130,3,1,Apartamento,2000,3828
Rua da Meação,Vila Regente Feijó,40,1,1,Apartamento,2200,2484
Alameda dos Jurupis,Moema,31,1,0,Studio e kitnet,3800,4403
Rua Haddock Lobo,Cerqueira César,128,2,0,Apartamento,8000,9622
Alameda Ministro Rocha Azevedo,Cerqueira César,52,1,2,Apartamento,9100,10150
Rua Ibirajá,Vila Guarani (z Sul),35,1,0,Apartamento,2200,2649
Rua Asdrúbal do Nascimento,Bela Vista,37,2,0,Apartamento,3880,4523
Rua Sansão Alves dos Santos,Cidade Monções,44,2,1,Apartamento,3000,4385
Rua Major Rubéns Florentino Vaz,Vila Pirajussara,14,1,0,Studio e kitnet,1750,1818
Rua das Paineiras,Jardim dos Lagos,147,3,2,Casa,3280,3542
Avenida Miguel Estefno,Vila da Saúde,100,1,1,Casa em condomínio,1489,1652
Rua Doutor Mário de Moura E Albuquerque,Jardim Monte Kemel,64,2,1,Apartamento,2570,3422
Rua Cachoeira da Ilha,Vila Carmosina,70,2,2,Apartamento,1800,2049
Rua Paulo Castaldelli,Parque Continental I,60,2,1,Apartamento,1400,1479
Rua dos Jequitibás,Campestre,95,3,2,Apartamento,3200,3448
Rua Constantino Sérgio,Jardim Palmares (zona Sul),80,2,0,Casa,1365,1438
Rua dos Pinheiros,Pinheiros,30,1,1,Apartamento,4000,4760
Rua Imperial,Santo Antônio,243,4,2,Casa,3690,4064
Rua Marselhesa,Vila Mariana,117,5,0,Casa,5513,6164
Alameda Franca,Jardim Paulista,174,3,2,Apartamento,6520,9851
Rua Bacada,Vila Medeiros,54,2,0,Casa,1224,1333
Rua Baltazar Soares,Cidade Dutra,200,3,2,Casa,6350,6871
Rua Guaraiuva,Cidade Monções,30,1,1,Casa,2394,2538
Rua Simão Lopes,Vila Moraes,60,3,1,Apartamento,1700,2347
Avenida Amador Bueno da Veiga,Penha de França,45,1,0,Casa,895,1086
Rua Xavier Gouvêia,Campo Belo,75,2,1,Apartamento,3800,5205
Rua das Nhandirobas,Jabaquara,14,1,0,Studio e kitnet,1500,1520
Avenida Dória,Campo Belo,52,2,1,Apartamento,3000,4101
Rua Barão de Itapetininga,República,35,1,0,Studio e kitnet,1200,1727
Rua Recanto Feliz,Campanário,75,2,1,Casa,1650,1763
Rua Freire de Andrade,Jardim Vila Galvão,120,2,2,Casa,2000,2136
Rua Tanque Velho,Vila Nivi,42,2,0,Casa em condomínio,1500,1625
Rua Intendência,Belenzinho,43,2,1,Apartamento,1957,2392
Rua Doutor Raphael de Oliveira Pirajá,Jardim Santos Dumont,80,2,2,Casa,2350,2389
Rua Caetanópolis,Jaguaré,59,2,1,Apartamento,2000,2752
Avenida Nossa Senhora do Sabará,Vila Emir,65,2,1,Apartamento,1730,2464
Rua Domingos de Morais,Vila Mariana,33,1,0,Apartamento,2500,3105
Rua Camélias,Parque Assunção,200,4,2,Casa,3500,3918
Avenida Santo Amaro,Moema,52,1,0,Apartamento,4500,5140
Rua Rêgo Freitas,República,26,1,0,Studio e kitnet,1207,1644
Alameda Santos,Jardim Paulista,100,3,1,Apartamento,3400,5794
Rua Inocêncio da Silva,Vila Sonia,270,4,6,Casa,7890,8225
Avenida Celso Garcia,Belenzinho,43,2,1,Apartamento,2390,2936
Rua Marte,Jardim Tupanci,62,2,1,Apartamento,2750,3245
Avenida Aratãs,Indianópolis,75,3,2,Apartamento,4400,6614
Rua Professor Alves Pedroso,Cangaíba,50,2,1,Apartamento,1490,1810
Avenida Professor Alfonso Bovero,Pompeia,81,2,1,Apartamento,2800,3873
Avenida dos Ourives,Jardim São Saverio ,40,2,0,Apartamento,1330,1741
Rua Piracuama,Pompeia,59,2,0,Apartamento,2800,3851
Rua Baltazar da Veiga,Vila Nova Conceição,42,1,1,Apartamento,3200,5390
Alameda Franca,Jardim Paulista,111,3,1,Apartamento,10530,12580
Rua Alayde de Souza Costa,Itaquera,71,2,2,Casa,2500,2606
Rua Ana Benvinda de Andrade,Santana,80,2,0,Casa,2000,2173
Rua Domingos José Sapienza,Vila Amália (zona Norte),69,3,1,Apartamento,1450,2085
Alameda Jaú,Jardim Paulista,38,1,0,Studio e kitnet,7500,8325
Rua Anhaia,Bom Retiro,30,1,1,Studio e kitnet,2300,2830
Rua Ministro Godói,Perdizes,30,1,0,Apartamento,2520,3372
Rua Fernando Torquato,Sapopemba,60,2,0,Casa em condomínio,1500,1609
Alameda Lorena,Jardim Paulista,179,3,1,Apartamento,14000,16590
Rua Alencar Araripe,Sacomã,54,2,1,Apartamento,1100,1914
Rua Capitão Raimundo Barros Nascimento,Km 18,200,3,2,Casa,3500,3983
Rua Rio Verde,Jardim Peri,280,5,2,Casa,4200,4628
Praça Júlio Mesquita,Santa Efigênia,48,1,1,Apartamento,3100,3840
Avenida General Olímpio da Silveira,Santa Cecília,78,2,1,Apartamento,2570,3515
Rua Rafael Jurado Navas,Parque Santos Dumont,132,3,0,Casa,2400,2655
Rua Francisco Cioffi,Vila Bertioga,390,5,4,Casa,10000,11170
Rua Antônio Vieira de Medeiros,Pinheiros,135,3,2,Casa,5500,5733
Rua Dionísio da Costa,Vila Mariana,80,2,0,Apartamento,1800,2363
Rua das Aningas,Jardim Oriental,115,3,2,Apartamento,3800,5777
Rua Monte Alegre,Perdizes,92,2,1,Apartamento,3935,5750
Rua dos Caciques,Vila da Saúde,61,2,1,Apartamento,2300,3342
Avenida Tarumã,Vila Pierina,70,3,2,Casa em condomínio,2050,2287
Rua Terra Roxa,Cidade Mãe do Céu,52,2,0,Casa em condomínio,2130,2460
Avenida Marcondes de Brito,Chácara Seis de Outubro,45,2,1,Apartamento,2400,2738
Rua Capote Valente,Pinheiros,90,2,1,Apartamento,4044,5234
Rua Voluntários da Pátria,Santana,42,1,2,Studio e kitnet,1925,2996
Rua Elias Antonio Zogbi,Santo Amaro,85,2,2,Apartamento,5500,6777
Rua País Natal,Jardim Filhos da Terra,70,2,0,Casa,6000,6255
Rua Manoel Antônio Pinto,Paraisópolis,207,2,2,Apartamento,2670,4984
Rua Bartolomeu Rodrigues,Parque São Luís,200,2,1,Casa,2100,2189
Rua José Luna,Jardim Vazani,50,2,0,Apartamento,1870,2042
Rua Gaspar Ricardo Júnior,Barra Funda,70,1,0,Casa,1800,2026
Rua Professor José Soares de Mello,Jardim Centenario,49,2,1,Apartamento,1300,1832
Rua Emília Bandeira de Melo,Imirim,35,1,0,Casa,920,992
Rua Jorge Americano,Alto da Lapa,45,2,1,Apartamento,2300,3346
Rua Professor João Simões,Vila Santo Estefano,35,1,0,Studio e kitnet,900,1135
Rua Comendador Elias Assi,Caxingui,90,2,2,Casa,5500,5812
Rua Doutor Bacelar,Vila Clementino,97,3,2,Apartamento,5500,7267
Rua Antônieta Leitão,Freguesia do Ó,57,2,1,Apartamento,1785,2519
Rua Serra de Juréa,Cidade Mãe do Céu,85,3,1,Apartamento,3480,5000
Rua Professor Aprígio Gonzaga,São Judas,60,2,1,Apartamento,2000,2914
Rua Barão de Loreto,Vila São José,29,1,0,Apartamento,820,1619
Rua Francisca Júlia,Santana,182,2,4,Apartamento,8500,12020
Rua Luiz Antônio Gonçalves,Vila Campanela,30,2,0,Studio e kitnet,1100,1352
Rua Artur Dias,Cursino,250,2,1,Casa,3200,3603
Rua Ângelo Bertini,Jardim Celeste,72,3,1,Apartamento,2430,2961
Rua Natividade Saldanha,São Lucas,32,0,0,Studio e kitnet,1200,1532
Rua Maia Lelo,Vila Paulo Silas,50,1,0,Casa,1700,1788
Rua Ituxi,Saúde,186,3,3,Apartamento,4710,7981
Avenida Marcos Penteado de Ulhôa Rodrigues,Tamboré,94,2,2,Apartamento,7000,8509
Avenida Prestes Maia,República,40,1,0,Apartamento,1280,2080
Rua Cândida Franco de Barros,Freguesia do Ó,46,2,1,Apartamento,2060,2532
Rua Jaguaribe,Consolação,42,1,0,Apartamento,1500,2134
Rua Cezar Zama,Santana,160,3,2,Apartamento,5000,7871
Rua Durvalino Blanco,Vila Aurora (zona Norte),50,2,0,Casa,1500,1673
Rua José dos Santos Júnior,Campo Belo,350,4,3,Casa,15000,15940
Rua Oásis,Jardim Oriental,35,1,0,Casa,1250,1339
Rua Almaquio Dinis,Vila Babilônia,300,5,3,Casa,5800,6046
"R. Evans, São Paulo - Sp, 03648-020, Brasil",Vila Matilde,55,2,0,Apartamento,1900,2124
Rua Catarina Vieira,Vila Dalila,44,2,0,Apartamento,2300,2559
Rua Casa do Ator,Vila Olímpia,160,2,2,Apartamento,7460,10400
Avenida Ipiranga,Santa Ifigênia,38,1,0,Apartamento,1450,1898
Avenida Presidente Juscelino Kubitschek,Vila Nova Conceição,82,1,1,Apartamento,11500,13920
Rua Ouvidor Portugal,Vila Monumento,30,1,0,Casa,1150,1241
Rua Capitão Pacheco E Chaves,Vila Prudente,35,1,0,Studio e kitnet,1200,1512
Rua Domingos Paiva,Brás,33,1,1,Apartamento,1700,2223
Rua Rafael de Proença,Vila Nova das Belezas,57,1,0,Casa,920,969
Rua Anete Queiroz Lacerda,Butantã,320,4,4,Casa,4590,5304
Rua Bicudo de Brito,Vila Guarani,45,2,0,Apartamento,1535,1794
Avenida Angélica,Consolação,155,3,1,Apartamento,8000,9967
Av. Gen. Valdomiro de Lima,Jabaquara,31,1,0,Apartamento,1679,1744
Rua Fábio Lopes dos Santos Luz,Vila Andrade,163,3,3,Apartamento,11000,14470
Rua Elza Delphino Ribeiro,Vila Mafra,50,1,1,Casa,1300,1535
Rua Alves Guimarães,Pinheiros,31,1,1,Studio e kitnet,3000,3983
Avenida Sapopemba,Jardim Planalto,28,1,0,Apartamento,1050,1411
Avenida João Caiaffa,Jardim Taboão,40,2,0,Apartamento,1500,1858
Rua Correia de Lemos,Chácara Inglesa,50,2,1,Apartamento,1840,2885
Rua Jorge Tibiriçá,Vila Mariana,196,3,2,Casa,4500,5275
Avenida João Pessoa,Jardim Utinga,63,3,1,Apartamento,1600,2095
Rua Quirino de Andrade,Centro,47,1,0,Apartamento,1912,2792
Rua São Maurício,Vila Galvão,85,3,1,Casa,2180,2402
Rua Doutor Sanareli,Vila Prudente,50,2,0,Casa,1489,1747
Rua Francisco Coelho dos Santos Filho,Jardim Kuabara,45,1,0,Casa,1200,1285
Rua Paranapanema,Vila da Saúde,60,2,1,Apartamento,2390,3355
Rua Mariquinha Viana,Água Fria,60,2,1,Casa em condomínio,1800,1981
Rua Pedro Inacio de Araujo,Vila São Silvestre,75,3,2,Apartamento,2500,3653
Rua Torrinha,Tatuapé,170,3,4,Apartamento,9985,13520
Avenida Alfredo Maluf,Vila Alto de Santo André,60,2,1,Apartamento,1380,1963
Rua Taciba,Vila Babilonia,40,1,0,Apartamento,1100,1175
Alameda Casa Branca,Jardim Paulista,78,1,2,Apartamento,4280,5530
Avenida Iraí,Indianópolis,70,2,1,Apartamento,2350,3949
Rua Sete de Abril,República,35,1,0,Studio e kitnet,1194,1890
Rua Delegado Moraes Novaes,Vila Andrade,72,2,2,Apartamento,3000,3919
Rua Manuel da Nóbrega,Paraíso,120,3,2,Apartamento,6700,7985
Avenida Paulista,Bela Vista,37,1,1,Apartamento,3000,3604
Avenida Corifeu de Azevedo Marques,Butantã,20,1,0,Studio e kitnet,1200,1266
Rua Barão do Bananal,Vila Pompéia,76,3,2,Apartamento,3500,4904
Rua Leais Paulistanos,Ipiranga,31,1,1,Apartamento,1833,2304
Rua Alexandre Benois,Vila Andrade,62,3,2,Apartamento,2862,3602
Rua Coronel Mursa,Brás,20,1,1,Apartamento,2600,2886
Avenida do Café,Vila Guarani,45,1,0,Apartamento,1800,2619
Rua São Vicente de Paulo,Santa Cecília,40,1,1,Studio e kitnet,1808,2527
Rua Doutor Nicolau de Sousa Queirós,Vila Mariana,36,1,0,Studio e kitnet,2300,3081
Avenida Diógenes Ribeiro de Lima,Alto da Lapa,70,2,1,Apartamento,2450,2955
Alameda das Tulípas,Alphaville,385,4,6,Apartamento,14140,16550
Rua Santa Isabel do Rio Negro,Jardim Íris,47,2,1,Apartamento,2440,2899
Avenida Ipiranga,República,29,1,0,Studio e kitnet,1725,2142
Rua Salvador Nunes,Ayrosa,180,3,0,Casa,1800,2032
Rua Araquã,Bela Vista,45,1,1,Apartamento,2400,3193
Rua Doutor Roberto Mercatelli,Barra Funda,140,3,2,Casa,3850,4057
Avenida Albert Bartholome,Jardim das Vertentes,83,3,2,Apartamento,3500,4590
Avenida Salgado Filho,Centro,37,1,1,Studio e kitnet,2137,2661
Rua Tupinambás,Vila Alzira,72,2,2,Apartamento,3100,3474
Rua Coronel Antônio de Sá Barreto,Vila Elze,80,2,1,Casa,1600,1723
Rua Cavour 399 Apto 124 B/a,Vila Prudente,75,3,2,Apartamento,2900,3648
Rua Cayowaá,Perdizes,70,2,1,Apartamento,3500,4702
Rua Bom Pastor,Ipiranga,34,1,1,Apartamento,2340,3121
Viaduto Nove de Julho,Centro,20,1,1,Studio e kitnet,2100,2789
Rua Dragões da Independência,Tucuruvi,45,2,1,Apartamento,1995,2298
Rua Cristóvão Pereira,Campo Belo,500,5,4,Casa,14000,16590
Estrada das Lágrimas,São José,80,3,2,Apartamento,3500,4344
Alameda Franca,Jardim Paulista,125,2,1,Apartamento,3800,5441
Rua Catarina Vieira,Vila Dalila,42,1,0,Apartamento,2000,2247
Avenida Bussocaba,Umuarama,41,1,1,Apartamento,2100,2627
Avenida Giovanni Gronchi,Vila Andrade,455,4,4,Apartamento,7000,9789
Rua Cipriano Barata,Ipiranga,40,1,0,Apartamento,1000,1224
Rua Celeste Fernandes Dalphorno,Jardim Rosana,40,1,0,Casa,800,949
Rua Professor Arnaldo João Semeraro,Jardim Santa Emilia,75,3,1,Apartamento,1800,2501
Rua Dona Ana Néri,Cambuci,37,2,1,Apartamento,1300,1740
Rua Sargento Estanislau Custódio,Instituto de Previdência,30,1,0,Apartamento,1100,1342
Rua Francisco de Carvalho Melo,Jardim Agu,144,3,0,Casa,3800,4365
Rua Frei Caneca,Consolação,25,1,0,Studio e kitnet,2800,3393
Rua Pinheiro Preto,Jardim Santa Cecília,125,2,0,Casa,1700,1833
Rua José Antônio Coelho,Vila Mariana,76,2,1,Apartamento,2384,3781
Rua Marajó,Brás,20,1,0,Studio e kitnet,1100,1143
Rua George Ohm,Cidade Monções,88,2,1,Apartamento,8000,9249
Rua Doutor Morais Dantas,Vila Barbosa,34,2,0,Apartamento,1400,1724
Rua Lima E Silva,Ipiranga,30,1,0,Casa,850,887
Rua Antônio Júlio dos Santos,Fazenda Morumbi,320,3,5,Apartamento,4900,8031
Alameda Joaquim Eugênio de Lima,Jardim Paulista,106,3,2,Apartamento,9800,12490
Rua Padre Mário Fontana,Parque da Mooca,350,3,4,Casa,15000,15710
Rua Barra Mansa,Jardim Franca,38,1,0,Apartamento,1300,1552
Avenida Sargento Geraldo Sant'ana,Jardim Taquaral,74,3,2,Apartamento,2600,3414
Rua Maria do Carmo,Vila Alpina,42,2,0,Apartamento,2000,2211
Avenida Sargento Geraldo Sant’ana,Jardim Taquaral,36,2,1,Apartamento,3400,4199
Rua Vieira de Morais,Campo Belo,31,1,0,Studio e kitnet,4400,5284
Rua Luís Correia de Melo,Vila Cruzeiro,59,1,1,Studio e kitnet,4250,5228
Rua Santo Amaro,Bela Vista,33,1,0,Studio e kitnet,1313,1594
Rua Diogo Moreira,Pinheiros,26,1,1,Studio e kitnet,5000,6584
Rua do Arraial,Vila Gumercindo,67,2,1,Apartamento,2480,3293
Rua Nanau,Água Fria,150,3,1,Casa,3350,3526
Avenida Túlio Teodoro de Campos,Vila Paulista,34,1,1,Apartamento,2200,2774
Rua Genebra,Bela Vista,25,1,0,Studio e kitnet,2764,3271
Rua Ana Soares Barcelos,Vila Venditti,45,2,1,Apartamento,1800,2264
Rua Gabriele D'annunzio,Campo Belo,37,1,1,Studio e kitnet,3500,4276
Rua Anacleto,Vila Isolina Mazzei,40,2,0,Apartamento,1500,1722
Rua da Paz,Chácara Santo Antônio,143,3,2,Apartamento,10000,10130
Viela Altair,Jardim Palmira,70,2,0,Casa,980,1072
Avenida Ipiranga,República,30,1,0,Studio e kitnet,1600,1978
Rua Urbano da Silva,Vila Santa Edwiges,48,2,1,Apartamento,1800,2029
Av. Salgado Filho,Jardim Iporanga,40,2,1,Apartamento,1210,1326
Rua Cotonificio Adelina,Belenzinho,130,2,2,Casa,3100,3220
Rua Santa Madalena,Liberdade,20,1,0,Studio e kitnet,850,883
Rua Ministro Godói,Perdizes,26,1,0,Studio e kitnet,3010,3499
Rua Bernardina Gonçalves Hahne,Instituto de Previdencia,100,2,2,Casa,4500,4691
Rua Rio Grande,Vila Mariana,85,1,1,Apartamento,2700,3865
Rua Bresser,Brás,63,2,0,Apartamento,1214,2091
Rua Belila,Parque Guarani,24,1,0,Studio e kitnet,780,819
Rua Brás Lourenço,Vila Mariana,43,1,0,Studio e kitnet,1215,1263
Alameda Lorena,Jardim Paulista,30,1,1,Studio e kitnet,2400,4463
Avenida Doutor Cardoso de Melo,Vila Olímpia,74,2,1,Apartamento,5500,7208
Rua Reims,Jardim das Laranjeiras,260,3,4,Casa,5000,5495
Rua Domingos Leme,Vila Nova Conceição,158,4,3,Apartamento,12000,16230
Rua Atuaí,Penha de França,42,2,1,Apartamento,1875,2197
Rua Primícias,Chácara Califórnia,40,1,0,Apartamento,1500,1760
Avenida Padre Lourenço,Vila Dalila,60,3,0,Casa,1400,1544
Rua Vacaria,Vila Planalto,43,2,1,Apartamento,1174,1419
Rua Viêira Pinto,Vila Aricanduva,52,2,1,Apartamento,1800,2488
Rua Andaraí,Vila Floresta,77,3,2,Apartamento,2970,3689
Rua José Alves Dantas,Vila Gomes,17,1,0,Studio e kitnet,1250,1298
Rua Iracema Senna Cerqueira dos Santos,Cidade Intercap,180,4,2,Casa,3400,3716
Rua Ouvidor Portugal,Vila Monumento,19,1,0,Apartamento,1050,1125
Rua Haddock Lobo,Cerqueira César,114,2,1,Apartamento,4820,7000
Rua Corcovado,Parque Residencial da Lapa,75,2,1,Apartamento,2265,2797
Rua Gabriele D’annunzio,Brooklin,50,1,1,Apartamento,4850,5416
Avenida do Cursino,Vila das Merces,80,2,1,Apartamento,2000,3126
Rua Aurora,República,28,1,0,Studio e kitnet,2390,3093
Rua Martinho Gonçalves,Parque Casa de Pedra,25,1,0,Casa,552,576
Rua Ibituruna,Parque Imperial,31,1,0,Casa,1500,1680
Avenida Casa Verde,Casa Verde,75,1,0,Apartamento,2700,3463
Rua Francisca Miquelina,Bela Vista,39,1,0,Studio e kitnet,2200,3164
Rua Cardeal Arcoverde,Pinheiros,55,2,1,Apartamento,3808,4862
Rua Maracanã,Vila Ipojuca,89,2,2,Apartamento,7000,8999
Travessa Carlos Antônio Sussmann,Vila Yara,140,3,3,Casa,4370,4781
Rua Rubens Sverner,Chácara Santo Antônio (zona Sul),35,1,0,Studio e kitnet,2400,2510
Rua Crato,Jardim Nordeste,42,2,0,Apartamento,1009,1346
Rua Augusto Farina,Butantã,180,2,2,Casa,4000,4520
Rua Alfredo Pujol,Santana,25,1,0,Studio e kitnet,2100,2598
Alameda dos Arapanés,Moema,63,2,1,Apartamento,7000,8048
Rua Sedan,Utinga,40,1,0,Casa em condomínio,800,864
Avenida Curió,Campanário,47,2,1,Apartamento,1900,2447
Rua Tupi,Santa Cecília,98,2,1,Apartamento,4500,5716
Rua Major Freire,Vila Monte Alegre,60,2,1,Apartamento,2500,3460
Augusta,Bela Vista,100,2,2,Apartamento,13130,16390
Rua Jaguarete,Casa Verde,75,3,1,Apartamento,3100,3220
Rua Haddock Lobo,Cerqueira César,41,1,1,Apartamento,15000,17930
Rua Pais Leme,Pinheiros,68,2,1,Apartamento,10310,12160
Rua João José Pachêco,Jardim Vila Mariana,22,1,0,Studio e kitnet,2200,2909
Rua João Baldinato,Vila Suzana,69,1,2,Studio e kitnet,2200,3551
Rua Paschoalina Belloti,Jardim City,42,2,1,Apartamento,1320,1751
Rua Marino Navarro,Jardim Patente Novo,115,3,2,Casa,3360,3503
Avenida dos Ourives,Jardim Sao Saverio,40,2,0,Apartamento,1500,1918
Rua Marina Crespi,Mooca,100,4,2,Apartamento,4500,5958
Rua Virgínia,Vila Carrao,40,2,0,Apartamento,1500,1808
Rua Abílio Soares,Paraíso,230,5,3,Apartamento,12800,17390
Rua Alexandrino da Silveira Bueno,Cambuci,40,2,0,Apartamento,1600,2007
